set,name,theme,year,models
10001-1,Metroliner,Train,2001,2
10002-1,Railroad Club Car,Train,2001,1
10013-1,Open Freight Wagon,Train > 9V,2001,1
10014-1,Caboose,Train > 9V,2001,1
10015-1,Passenger Wagon,Train > 9V,2001,1
10016-1,Tanker,Train > 9V,2001,1
10017-1,Hopper Wagon,Train > 9V,2001,1
10018-1,Darth Maul,Star Wars > Ultimate Collector Series,2001,1
10019-1,Rebel Blockade Runner,Star Wars > Ultimate Collector Series,2001,1
10020-1,Santa Fe Super Chief,Train > 9V,2002,1
10022-1,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",Train > 9V,2002,3
10025-1,Santa Fe Cars - Set I (mail or baggage car),Train > 9V,2002,2
10030-1,Imperial Star Destroyer,Star Wars > Ultimate Collector Series,2002,1
10036-1,Pizza To Go,Town,2002,1
10037-1,Breezeway Cafe,Town,2002,1
10124-1,Wright Flyer,Creator > Creator Expert,2003,1
10128-1,Train Level Crossing,Town > World City,2003,1
10129-1,Rebel Snowspeeder,Star Wars > Ultimate Collector Series,2003,1
10133-1,Burlington Northern Santa Fe Locomotive,Train > 9V,2004,1
10134-1,Y-wing Attack Starfighter,Star Wars > Ultimate Collector Series,2004,1
10143-1,Death Star II,Star Wars > Ultimate Collector Series,2005,1
10156-1,LEGO Truck,Town,2004,1
10158-1,High Speed Train Car,Town > World City,2004,1
10159-1,City Airport,City > Airport,2004,1
10170-1,TTX Intermodal Double-Stack Car,Train > 9V,2005,1
10174-1,Imperial AT-ST,Star Wars > Ultimate Collector Series,2006,1
10175-1,Vader's TIE Advanced,Star Wars > Ultimate Collector Series,2006,1
10176-1,Royal King's Castle,Castle > Knights Kingdom II,2006,1
10179-1,Millennium Falcon,Star Wars > Ultimate Collector Series,2007,1
10182-1,Cafe Corner,Modular Buildings,2007,1
10183-1,Hobby Train,Factory,2007,20
10184-1,Town Plan,Town > Town Plan,2008,1
10185-1,Green Grocer,Modular Buildings,2008,1
10190-1,Market Street,Modular Buildings,2007,1
10194-1,Emerald Night,Creator > Creator Expert,2009,1
10197-1,Fire Brigade,Modular Buildings,2009,1
10205-1,Locomotive,Train > 9V,2002,1
10212-1,Imperial Shuttle,Star Wars > Ultimate Collector Series,2010,1
10213-1,Shuttle Adventure,Creator > Creator Expert,2010,1
10214-1,Tower Bridge,Creator > Creator Expert,2010,1
10218-1,Pet Shop,Modular Buildings,2011,1
10220-1,Volkswagen T1 Camper Van,Creator > Creator Expert,2011,1
10224-1,Town Hall,Modular Buildings,2012,1
10226-1,Sopwith Camel,Creator > Creator Expert,2012,1
10227-1,B-wing Starfighter,Star Wars > Ultimate Collector Series,2012,1
10230-1,Mini Modulars,Modular Buildings > Mini,2012,1
10232-1,Palace Cinema,Modular Buildings,2013,1
10233-1,Horizon Express,Creator > Creator Expert,2013,1
10240-1,Red Five X-Wing Starfighter,Star Wars > Ultimate Collector Series,2013,1
10241-1,Maersk Line Triple-E,Creator > Creator Expert,2014,1
10242-1,MINI Cooper,Creator > Creator Expert,2014,1
10243-1,Parisian Restaurant,Modular Buildings,2014,1
10246-1,Detective’s Office,Modular Buildings,2015,1
10248-1,Ferrari F40,Creator > Creator Expert,2015,1
10251-1,Brick Bank,Modular Buildings,2016,1
10252-1,Volkswagen Beetle,Creator > Creator Expert,2016,1
10253-1,Big Ben,Creator > Creator Expert,2016,1
10256-1,Taj Mahal,Creator > Creator Expert,2017,1
10258-1,London Bus,Creator > Creator Expert,2017,1
10261-1,Roller Coaster,Creator > Creator Expert,2018,1
10262-1,James Bond Aston Martin DB5,Creator > Creator Expert,2018,1
10264-1,Corner Garage,Modular Buildings,2019,1
10265-1,Ford Mustang,Creator > Creator Expert,2019,2
10267-1,Gingerbread House,Seasonal > Christmas > Creator,2019,1
10269-1,Harley-Davidson Fat Boy,Creator > Creator Expert,2019,1
10270-1,Bookshop,Modular Buildings,2020,1
10271-1,Fiat 500,Creator > Creator Expert,2020,1
10272-1,Old Trafford - Manchester United,Creator > Creator Expert,2020,1
10276-1,Colosseum,Icons,2020,1
10277-1,Crocodile Locomotive,Icons,2020,1
10278-1,Police Station,Modular Buildings,2021,1
10280-1,Flower Bouquet,Botanicals,2021,1
10281-1,Bonsai,Botanicals,2021,2
10283-1,NASA Space Shuttle Discovery,Icons,2021,1
1029-1,Milk Delivery Truck - Tine,Town,1999,1
10294-1,Titanic,Icons,2021,1
10295-1,Porsche 911 Turbo & 911 Targa,Icons,2021,2
10297-1,Boutique Hotel,Modular Buildings,2022,1
10298-1,Vespa 125,Icons,2022,1
10315-1,Tranquil Garden,Icons,2023,1
10349-1,Happy Plants,Botanicals,2025,1
10359-1,Fountain Garden,Icons,2025,1
106-1,UNICEF Van,Town > Classic Town,1985,1
1069-1,Speedboat,Town > Res-Q,1999,1
107-2,Canada Post Mail Truck,Town > Classic Town,1985,1
10885-1,My First Fun Puzzle,Duplo,2019,1
10918-1,Tow Truck,Duplo > Town,2020,1
1096-1,Race Buggy,Town > Extreme Team,1997,1
1097-1,Res-Q Runner,Town > Res-Q,1999,1
112-2,Locomotive with Motor,Train > 4.5V,1966,1
1180-1,Space Port Moon Buggy,Town > Space Port,1999,1
121-1,Roadster,Fabuland,1979,1
1210-2,Small Store Set,System > Town Plan,1955,2
1211-2,Small House Set,System > Town Plan,1955,2
1212-2,Small House - Left Set,System > Town Plan,1955,1
1213-2,Small House - Right Set,System > Town Plan,1955,1
126-1,Steam Locomotive (Push),Train > 4.5V,1970,1
1462-1,Galactic Scout,Space > Blacktron II,1992,1
1472-1,Holiday Home,Town > Classic Town,1987,1
1477-1,{Red Race Car Number 3},Town > Classic Town,1991,1
1478-1,Mobile Satellite Up-Link,Space > M:Tron,1991,1
1479-1,2-Pilot Craft,Space > Blacktron II,1991,1
148-1,Central Station,Train > 4.5V,1975,1
1484-1,Weetabix Town House,Town > Classic Town,1987,1
1489-1,Mobile Car Crane,Town > Classic Town,1989,1
1490-1,Town Bank,Town > Classic Town,1988,1
1496-1,Rally Car,Town > Classic Town,1987,1
1499-1,Twin Starfire,Space > Classic Space,1987,1
1517-1,Race Car,Town > Classic Town,1989,1
1528-1,Dragster,Town > Classic Town,1986,1
1557-1,Scooter,Space > Classic Space,1986,1
1572-1,Super Tow Truck,Town > Classic Town,1986,1
158-1,Railroad Crossing Gate,Train > 4.5V,1969,1
1591-1,Danone Truck,Town > Classic Town,1980,1
1620-1,Astro Dart,Space > Futuron,1990,1
1621-1,Lunar MPV Vehicle,Space > Futuron,1990,1
1631-1,Black Racer,Town > Classic Town,1990,1
1632-1,Motor Boat,Town > Classic Town,1990,1
1633-1,Loader Tractor,Town > Classic Town,1990,1
164-1,Passenger Wagon,Train > 4.5V,1978,3
165-1,Cargo Station,Train > 4.5V,1978,1
1656-1,Evacuation Team,Town > Classic Town,1991,1
166-1,Flat Wagon,Train > 4.5V,1978,1
167-1,Loading Ramp and Car Transport Wagon,Train > 4.5V,1978,1
1680-1,Hay Cart with Smugglers,Castle > Forestmen,1990,1
1682-1,Space Shuttle,Town > Classic Town,1990,1
1702-1,Fire Fighter 4 x 4,Town > Classic Town,1994,1
1704-1,Ice Planet Satellite Plough,Space > Ice Planet 2002,1994,1
17101-1,Creative Toolbox,Other,2017,2
1713-1,Shipwrecked Pirate,Pirates > Pirates I,1994,1
1714-1,Surveillance Scooter,Space > Spyrius,1995,1
1731-1,Ice Planet Scooter,Space > Ice Planet 2002,1994,1
1772-1,Airport Container Truck,Town > Classic Town,1992,1
1773-1,Airline Maintenance Vehicle with Trailer,Promotional > Airlines,1996,1
1775-1,Jet,Town > Classic Town,1994,1
1787-1,Crater Cruiser,Space > Unitron,1995,1
1789-1,Star Hawk II,Space > Unitron,1995,1
1792-1,Pleasure Cruiser,Town > Classic Town,1994,1
1793-1,Space Station Zenon,Space > Unitron,1995,1
1808-1,Light Aircraft and Ground Support,Town > Classic Town,1996,1
1831-1,Maersk Line Container Lorry,Town > Classic Town,1995,1
1854-1,House with Roof-Windows ( Velux ),Town > Classic Town,1996,1
1869-1,South African Flag,Universal Building Set > Basic,1996,1
1875-1,Meteor Monitor,Space > Blacktron I,1990,1
1887-1,Scout Patrol Ship,Space > Blacktron II,1992,1
1896-1,Trauma Team,Town > Classic Town,1992,1
1916-1,Starion Patrol,Space > Space Police II,1993,1
1952-1,Dairy Tanker,Town > Classic Town,1989,1
1969-1,Mini Robot,Space > Space Police II,1993,1
1972-1,Go-Cart,Technic,1985,1
1974-3,Smuggler's Hayride,Castle > Forestmen,1989,1
1974-4,Star Quest,Space > Futuron,1989,1
1991-1,Racing Pickup,Town > Classic Town,1993,1
20004-1,Jungle Cruiser,Indiana Jones,2008,1
20006-1,Clone Turbo Tank - Mini,Star Wars,2008,1
20009-1,AT-TE Walker - Mini,Star Wars,2009,1
20011-1,Garbage Truck,Creator,2009,1
20014-1,4 x 4 Dynamo,Creator,2010,1
20015-1,Alligator,Creator,2010,1
20019-1,Slave I,Star Wars,2011,1
20021-1,Bounty Hunter Gunship - Mini,Star Wars,2011,1
21000-1,Sears Tower,Architecture,2008,1
21000-2,Willis Tower,Architecture,2011,1
21001-1,John Hancock Center,Architecture,2008,1
21002-1,Empire State Building,Architecture,2009,1
21003-1,Seattle Space Needle,Architecture,2009,1
21004-1,Solomon R. Guggenheim Museum,Architecture,2009,1
21005-1,Fallingwater,Architecture,2009,1
21006-1,The White House,Architecture,2010,1
21007-1,Rockefeller Center,Architecture,2010,1
21008-1,Burj Khalifa,Architecture,2011,1
21009-1,Farnsworth House,Architecture,2011,1
21010-1,Robie House,Architecture,2011,1
21011-1,Brandenburg Gate,Architecture,2011,1
21012-1,Sydney Opera House,Architecture,2012,1
21013-1,Big Ben,Architecture,2012,1
21014-1,Villa Savoye,Architecture,2012,1
21015-1,The Leaning Tower of Pisa,Architecture,2013,1
21016-1,Sungnyemun,Architecture,2012,1
21017-1,Imperial Hotel,Architecture,2013,1
21018-1,United Nations Headquarters,Architecture,2013,1
21019-1,Eiffel Tower,Architecture,2014,1
21020-1,The Trevi Fountain,Architecture,2014,1
21021-1,Marina Bay Sands,Architecture,2014,1
21022-1,Lincoln Memorial,Architecture,2015,1
21023-1,Flatiron Building,Architecture,2015,1
21024-1,Louvre,Architecture,2015,1
21026-1,Venice,Architecture > Skylines,2016,1
21027-1,Berlin,Architecture > Skylines,2016,1
21028-1,New York City,Architecture > Skylines,2016,1
21029-1,Buckingham Palace,Architecture,2016,1
21030-1,United States Capitol Building,Architecture,2016,1
21031-1,Burj Khalifa,Architecture,2016,1
21032-1,Sydney,Architecture > Skylines,2017,1
21033-1,Chicago,Architecture > Skylines,2017,1
21034-1,London,Architecture > Skylines,2017,1
21035-1,Solomon R. Guggenheim Museum,Architecture,2017,1
21036-1,Arc de Triomphe,Architecture,2017,1
21037-1,LEGO House,Architecture,2017,1
21039-1,Shanghai,Architecture > Skylines,2018,1
21041-1,Great Wall of China,Architecture,2018,1
21042-1,Statue of Liberty,Architecture,2018,1
21043-1,San Francisco,Architecture > Skylines,2019,1
21045-1,Trafalgar Square,Architecture,2019,1
21046-1,Empire State Building,Architecture,2019,1
21047-1,Las Vegas,Architecture > Skylines,2018,1
21051-1,Tokyo,Architecture > Skylines,2020,1
21052-1,Dubai,Architecture > Skylines,2020,1
21107-1,Micro World - The End,Minecraft,2014,1
21113-1,The Cave,Minecraft,2014,1
2130-1,Danone Promotional Set: Duck,Universal Building Set > Basic,1996,1
21302-1,The Big Bang Theory,LEGO Ideas and CUUSOO,2015,1
21303-1,WALL•E [Original Version],LEGO Ideas and CUUSOO,2015,1
21307-1,Caterham Seven 620R,LEGO Ideas and CUUSOO,2016,1
21309-1,NASA Apollo Saturn V,LEGO Ideas and CUUSOO,2017,1
21311-1,Voltron,LEGO Ideas and CUUSOO,2018,2
21318-1,Tree House,LEGO Ideas and CUUSOO,2019,2
21319-1,Central Perk,LEGO Ideas and CUUSOO,2019,1
2132-1,Danone Promotional Set: Cow,Universal Building Set > Basic,1996,1
21321-1,International Space Station,LEGO Ideas and CUUSOO,2020,1
21323-1,Grand Piano,LEGO Ideas and CUUSOO,2020,1
21325-1,Medieval Blacksmith,LEGO Ideas and CUUSOO,2021,1
2133-1,Danone Promotional Set: Impala,Universal Building Set > Basic,1996,1
2134-1,Danone Promotional Set: Bison,Universal Building Set > Basic,1996,1
2140-1,ANWB Roadside Assistance Crew,Town > Classic Town,1996,1
2148-1,LEGO Truck,Town > Classic Town,1997,1
2149-1,Color Line Container Lorry,Town > Classic Town,1997,1
2150-1,Train Station,Train > 9V,1996,1
2531-1,Rescue Helicopter and Jeep,Town,1998,1
2541-1,Adventurers Car,Adventurers > Desert,1998,1
2542-1,Adventurers Aeroplane,Adventurers > Desert,1998,1
2584-1,Biker Bob,Town > Town Jr.,1998,1
261-1,Bathroom,Homemaker,1979,1
262-2,Complete Children's Room Set,Homemaker,1972,1
2845-1,Indian Chief,Western,1997,1
2846-1,Indian Kayak,Western,1997,1
2882-1,Speedboat,Town > Classic Town,1997,1
2962-1,Res-Q Lifeguard,Town > Res-Q,1998,1
30022-1,Bee,Creator,2011,1
30023-1,Lighthouse,Creator,2011,1
30024-1,Truck,Creator,2011,1
30025-1,Clown Fish,Creator,2011,1
30026-1,Panda,Creator,2011,1
30027-1,Reindeer,Creator,2011,1
30028-1,Wreath,Seasonal > Christmas,2011,1
30029-1,Pudsey Bear,Creator,2011,1
30030-1,Racing Car,Racers,2010,1
30033-1,Racing Truck,Racers,2010,1
30034-1,Racing Tow Truck,Racers,2010,1
30035-1,Racing Car,Racers,2010,1
30036-1,Buggy Racer,Racers,2011,1
30050-1,Republic Attack Shuttle - Mini,Star Wars,2010,1
30051-1,X-wing Fighter - Mini,Star Wars,2010,1
30052-1,AAT - Mini,Star Wars,2011,1
30053-1,Republic Attack Cruiser - Mini,Star Wars,2011,1
30054-1,AT-ST - Mini,Star Wars,2011,1
30055-1,Vulture Droid - Mini,Star Wars,2011,1
30056-1,Star Destroyer,Star Wars,2012,1
30090-1,Desert Glider,Pharaoh's Quest,2011,1
30091-1,Desert Rover,Pharaoh's Quest,2011,1
30100-1,Andrea on the Beach,Friends,2012,1
30101-1,Skate Boarder,Friends,2012,1
30102-1,Desk,Friends,2012,1
30103-1,Car,Friends,2012,1
30105-1,Stephanie and Mailbox,Friends,2012,1
3015-1,Space Police Car,Space > Space Police II,1999,1
30161-1,Batmobile,Super Heroes DC > Batman,2012,1
30181-1,Helicopter,Creator,2012,1
30190-1,Ferrari 150° Italia,Racers > Ferrari,2012,1
30191-1,Scuderia Ferrari Truck,Racers > Ferrari,2012,1
30192-1,F40,Racers > Ferrari,2012,1
30193-1,250 GT Berlinetta,Racers > Ferrari,2012,1
30194-1,458 Italia,Racers > Ferrari,2012,1
30195-1,FXX,Racers > Ferrari,2012,1
30201-1,Ghost,Monster Fighters,2012,1
30210-1,Frodo with Cooking Corner,The Hobbit and Lord of the Rings > The Lord of the Rings,2012,1
30259-1,Azari’s Magic Fire,Elves,2015,1
30277-1,First Order Star Destroyer,Star Wars,2016,1
30283-1,Off-Road,Creator,2015,1
30284-1,Tractor,Creator,2015,1
30285-1,Tiger,Creator,2015,1
30300-1,The Batman Tumbler,Super Heroes DC > Batman,2014,1
30311-1,Swamp Police Helicopter,City > Police,2015,1
30312-1,Demolition Driller,City > Construction,2015,1
30313-1,Garbage Truck,City > Traffic,2015,1
30472-1,Parrot,Creator,2016,1
30542-1,Cute Pug,Creator > Creator 3-in-1,2018,3
3056-1,Go-Kart,Town,1998,1
30571-1,Pelican,Creator > Creator 3-in-1,2019,1
30572-1,Race Car,Creator,2019,1
3061-1,City Park Café,Friends,2012,1
3063-1,Heartlake Flying Club,Friends,2012,1
310-3,Tug,Boat,1973,1
31009-1,Small Cottage,Creator > Creator 3-in-1,2013,3
31025-1,Mountain Hut,Creator > Creator 3-in-1,2014,3
31027-1,Blue Racer,Creator > Creator 3-in-1,2015,3
31028-1,Sea Plane,Creator > Creator 3-in-1,2015,3
31031-1,Rainforest Animals,Creator > Creator 3-in-1,2015,3
31037-1,Adventure Vehicles,Creator > Creator 3-in-1,2015,3
31038-1,Changing Seasons,Creator > Creator 3-in-1,2015,3
31039-1,Blue Power Jet,Creator > Creator 3-in-1,2015,3
31040-1,Desert Racers,Creator > Creator 3-in-1,2016,3
31045-1,Ocean Explorer,Creator > Creator 3-in-1,2016,3
31048-1,Lakeside Lodge,Creator > Creator 3-in-1,2016,3
31049-1,Twin Spin Helicopter,Creator > Creator 3-in-1,2016,3
31063-1,Beachside Vacation,Creator > Creator 3-in-1,2017,3
31066-1,Space Shuttle Explorer,Creator > Creator 3-in-1,2017,3
31070-1,Turbo Track Racer,Creator > Creator 3-in-1,2017,1
31072-1,Extreme Engines,Creator > Creator 3-in-1,2018,3
31084-1,Pirate Roller Coaster,Creator > Creator 3-in-1,2018,3
31088-1,Deep Sea Creatures,Creator > Creator 3-in-1,2019,4
31092-1,Helicopter Adventure,Creator > Creator 3-in-1,2019,3
311-1,Ferry,Boat,1973,1
31153-1,Modern House,Creator > Creator 3-in-1,2024,1
31197-1,Andy Warhol's Marilyn Monroe,LEGO Art,2020,4
31199-1,Marvel Studios Iron Man,LEGO Art,2020,4
312-3,Tanker,Boat,1973,1
31203-1,World Map,LEGO Art,2021,1
31313-1,Mindstorms EV3,Mindstorms > EV3,2013,4
314-1,Police Boat,Boat,1976,1
315-2,Container Transport,Boat,1976,1
316-1,Fire Fighter Ship,Boat,1978,1
3178-1,Seaplane,City > Harbor,2010,1
3179-1,Repair Truck,City > Traffic,2010,1
3180-1,Tank Truck,City > Traffic,2010,1
3181-1,Passenger Plane,City > Airport,2010,1
3183-1,Stephanie's Cool Convertible,Friends,2012,1
3184-1,Adventure Camper,Friends,2012,1
3185-1,Summer Riding Camp,Friends,2012,1
3186-1,Emma's  Horse Trailer,Friends,2012,1
3187-1,Butterfly Beauty Shop,Friends,2012,1
3188-1,Heartlake Vet,Friends,2012,1
3189-1,Heartlake Stables,Friends,2012,1
3219-1,TIE Fighter - Mini,Star Wars,2003,1
3221-1,LEGO Truck,City > Traffic,2010,1
3223-1,Orange Fish,Creator > Designer Sets,2003,3
3314-1,Stadium Security,Sports > Soccer,1998,1
3315-1,Olivia's House,Friends,2012,1
3316-1,Friends Advent Calendar 2012,Seasonal > Advent > Friends,2012,1
3404-1,Team Bus (Black),Sports > Soccer,2000,1
3405-1,Team Bus (Blue),Sports > Soccer,2000,1
341-2,Cathy Cat's & Morty Mouse's Cottage,Fabuland,1979,1
3442-1,LEGOLAND California Truck,Town,1998,1
345-1,House with Mini Wheel Car,Legoland > Building,1969,1
346-2,House with Car,Legoland > Building,1969,1
347-3,Doc David's Hospital,Fabuland,1979,1
349-1,Swiss Chalet,Legoland > Building,1971,1
350-3,Town Hall,Fabuland,1979,1
3501-1,Jet-Car,Znap,1998,9
358-1,Rocket Base,Legoland > Space,1973,1
3602-1,Bianca Lamb and Stroller,Fabuland,1980,1
3605-1,Ricky Racoon and his Scooter,Fabuland,1980,1
361-2,Garage,Town > Classic Town,1979,1
3624-1,Flower Car,Fabuland,1985,1
3625-1,Aeroplane,Fabuland,1985,1
3628-1,Perry Panda & Chester Chimp,Fabuland,1981,1
3636-1,Lucy Lamb's Bedroom,Fabuland,1987,1
3637-1,Gertrude Goat's Painter's Truck,Fabuland,1983,1
364-1,Harbour Scene,Legoland > Harbor,1975,1
3641-1,Car & Camper,Fabuland,1985,1
3644-1,Mayor's Car,Fabuland,1986,1
365-1,Wild West Scene,Legoland > Western,1975,1
3654-1,Country Cottage,Fabuland,1982,1
3659-1,Play Ground,Fabuland,1987,1
3660-1,Fisherman's Cottage,Fabuland,1985,1
3667-1,Bakery,Fabuland,1982,1
3668-1,Merry-Go-Round,Fabuland,1986,1
3669-1,Fire & Police Station,Fabuland,1982,1
367-1,Moon Landing,Legoland > Space,1975,1
3670-1,Service Station,Fabuland,1984,1
3674-1,Bonnie Bunny's New House,Fabuland,1987,1
3676-1,Catherine Cat's Fun Park,Fabuland,1989,1
3678-1,The Fabuland House,Fabuland,1982,1
3681-1,Amusement Park,Fabuland,1985,1
3682-1,Fire Station,Fabuland,1987,1
3683-1,Amusement Park,Fabuland,1988,1
3701-1,Fisherman Cornelius Cat,Fabuland,1982,1
3704-1,Marjorie Mouse,Fabuland,1982,1
3707-1,Clover Cow,Fabuland,1982,1
3708-1,Rufus Rabbit,Fabuland,1982,1
3715-1,Flower Stand,Fabuland,1985,1
3716-1,Office,Fabuland,1985,1
3718-1,Small Cafe,Fabuland,1986,1
3721-1,Clive Crocodile on Skateboard,Fabuland,1988,1
374-1,Fire Station,Town > Classic Town,1978,1
3740-1,Small Locomotive,Train > 9V,2001,1
3741-1,Large Locomotive (base unit without color trim elements),Train > 9V,2001,1
3742-1,Tender Basis (without color trim elements),Train > 9V,2001,1
376-2,Town House with Garden,Town > Classic Town,1978,1
377-1,Shell Service Station,Town > Classic Town,1978,1
3782-1,Photographer Patrick Parrot,Fabuland,1982,1
3784-1,Hugo Hog the Tinker,Fabuland,1982,1
3791-1,William Walrus,Fabuland,1984,1
3792-1,Lisa Lamb's Bedroom,Fabuland,1985,1
3794-1,Police Motorcycle,Fabuland,1985,1
3795-1,Kitchen,Fabuland,1985,1
3796-1,Small Bakery,Fabuland,1986,1
3798-1,Hanna's Garden,Fabuland,1988,1
390-2,1913 Cadillac,Hobby Sets,1975,1
392-1,Formula 1,Hobby Sets,1975,1
3930-1,Stephanie's Outdoor Bakery,Friends,2012,1
3931-1,Emma's Splash Pool,Friends,2012,1
3932-1,Andrea’s Stage,Friends,2012,1
3933-1,Olivia's Invention Workshop,Friends,2012,1
3934-1,Mia’s Puppy House,Friends,2012,1
3935-1,Stephanie’s Pet Patrol,Friends,2012,1
3936-1,Emma’s Fashion Design Studio,Friends,2012,1
3937-1,Olivia's Speedboat,Friends,2012,1
3938-1,Andrea's Bunny House,Friends,2012,1
3939-1,Mia's Bedroom,Friends,2012,1
3942-1,Heartlake Dog Show,Friends,2012,1
395-1,1909 Rolls-Royce,Hobby Sets,1976,1
396-1,Thatcher Perkins Locomotive,Hobby Sets,1976,1
40011-1,Thanksgiving Turkey,Seasonal > Thanksgiving,2010,1
40012-1,Halloween Pumpkin,Seasonal > Halloween,2010,1
40013-1,Halloween Ghost,Seasonal > Halloween,2010,1
40014-1,Halloween Bat,Seasonal > Halloween,2010,1
4002-1,Riptide Racer,Boat,1996,1
4002020-1,Celebrating 40 Years of Hands-on Learning,LEGO Exclusive,2020,1
4005-1,Tug Boat,Boat,1982,1
4010-1,Police Rescue Boat,Boat,1987,1
40138-1,Christmas Train,Seasonal > Christmas,2015,1
40141-1,Bricktober Hotel,Promotional > Bricktober,2015,1
40142-1,Bricktober Train Station,Promotional > Bricktober,2015,1
40143-1,Bricktober Bakery,Promotional > Bricktober,2015,1
40144-1,Bricktober Toys R Us Store,Promotional > Bricktober,2015,1
40148-1,Year Of The Sheep,Seasonal > Chinese (Lunar) New Year,2015,1
4015-1,Freighter,Boat,1982,1
4016-1,Racer,Creator > Early Creator,2001,1
4017-1,Sea Helicopter,Creator > Early Creator,2001,1
4018-1,Ship,Creator > Early Creator,2001,1
40180-1,Bricktober Theater,Promotional > Bricktober,2014,1
40181-1,Bricktober Pizza Place,Promotional > Bricktober,2014,1
40182-1,Bricktober Fire Station,Promotional > Bricktober,2014,1
40183-1,Bricktober Town Hall,Promotional > Bricktober,2014,1
4019-1,Aeroplane,Creator > Early Creator,2001,1
40190-1,F138,Promotional,2014,1
40191-1,F12berlinetta,Promotional,2014,1
40192-1,250 GTO,Promotional,2014,1
40193-1,512 S,Promotional,2014,1
40194-1,Finish Line & Podium,Promotional,2014,1
40195-1,Shell Station,Promotional,2014,1
40199-1,Billund Airport,LEGO Brand Store,2018,1
4025-1,Fire Boat,Boat,1982,1
40270-1,Valentine's Bee,Brickheadz,2018,1
40271-1,Bunny,Brickheadz,2018,1
40272-1,Witch,Brickheadz,2018,1
40273-1,Turkey,Brickheadz,2018,1
40274-1,Mr & Mrs Claus,Brickheadz,2018,1
40290-1,60 Years of the LEGO Brick,Promotional,2018,5
40335-1,Space Rocket Ride,LEGO Ideas and CUUSOO,2019,1
40348-1,Birthday Clown,Brickheadz,2019,1
40349-1,Puppy,Brickheadz,2019,1
40350-1,Chick,Brickheadz,2019,1
40351-1,Ghost,Brickheadz,2019,1
40352-1,Scarecrow,Brickheadz,2019,1
40353-1,"Reindeer, Elf & Elfie",Brickheadz,2019,1
40354-1,Dragon Dance Guy,Brickheadz,2019,1
40367-1,Lady Liberty,Brickheadz,2019,1
4037-1,Helicopter,Creator > Early Creator,2004,1
40377-1,Donald Duck,Brickheadz,2020,1
40378-1,Goofy and Pluto,Brickheadz,2020,1
40379-1,Bear,Brickheadz,2020,1
40380-1,Sheep,Brickheadz,2020,1
40386-1,Batman,Brick Sketches,2020,1
40391-1,First Order Stormtrooper,Brick Sketches,2020,1
40396-1,Valentine Panda,LEGO Brand Store > Monthly Mini Model Build,2020,1
40412-1,Hagrid & Buckbeak,Brickheadz,2020,1
40413-1,Mini Robots,Mindstorms,2020,1
40425-1,Nutcracker,Brickheadz,2020,1
40428-1,The Joker,Brick Sketches,2020,1
40431-1,BB-8,Brick Sketches,2020,1
40433-1,1989 Batmobile - Limited Edition,Super Heroes DC > Batman,2019,1
40436-1,Lucky Cat,Brickheadz,2020,1
40440-1,German Shepherd and Puppy,Brickheadz,2021,1
40441-1,Shorthair Cat and Kitten,Brickheadz,2021,1
40448-1,Vintage Car,LEGO Ideas and CUUSOO,2021,1
40456-1,Mickey Mouse,Brick Sketches,2021,1
40457-1,Minnie Mouse,Brick Sketches,2021,1
40466-1,Chinese New Year Pandas,Brickheadz,2021,1
40782-1,Tropical Rainforest Diorama,Other,2025,1
40783-1,Coral Reef Diorama,Other,2025,1
4096-1,Micro Wheels,Creator > Designer Sets,2003,13
410-1,Payloader,Legoland > Construction,1973,1
41015-1,Dolphin Cruiser,Friends,2013,1
41040-1,Advent Calendar 2014 Friends,Seasonal > Advent > Friends,2014,1
41071-1,Aira's Creative Workshop,Elves,2015,1
41072-1,Naida's Spa Secret,Elves,2015,1
41073-1,Naida's Epic Adventure Ship,Elves,2015,1
41075-1,The Elves' Treetop Hideaway,Elves,2015,1
41092-1,Stephanie's Pizzeria,Friends,2015,1
41181-1,Naida's Gondola & the Goblin Thief,Elves,2017,1
41485-1,Finn,Brickheadz,2017,1
41486-1,Captain Phasma,Brickheadz,2017,1
41487-1,Lloyd,Brickheadz,2017,1
41488-1,Master Wu,Brickheadz,2017,1
41490-1,Superman & Wonder Woman,Brickheadz,2016,1
41491-1,Batman & The Joker,Brickheadz,2016,1
41492-1,Iron Man & Captain America,Brickheadz,2016,1
41493-1,Black Panther & Dr. Strange,Brickheadz,2016,1
41496-1,Supergirl & Martian Manhunter,Brickheadz,2017,1
41497-1,Spider-Man & Venom,Brickheadz,2017,1
41498-1,Boba Fett & Han Solo in Carbonite,Brickheadz,2017,1
41500-1,Flain,Mixels,2014,1
41501-1,Vulk,Mixels,2014,1
41502-1,Zorch,Mixels,2014,1
41503-1,Krader,Mixels,2014,1
41504-1,Siesmo,Mixels,2014,1
41505-1,Shuff,Mixels,2014,1
41512-1,Chomly,Mixels,2014,1
41585-1,Batman,Brickheadz,2017,1
41586-1,Batgirl,Brickheadz,2017,1
41587-1,Robin,Brickheadz,2017,1
41588-1,The Joker,Brickheadz,2017,1
41589-1,Captain America,Brickheadz,2017,1
41590-1,Iron Man,Brickheadz,2017,1
41591-1,Black Widow,Brickheadz,2017,1
41592-1,The Hulk,Brickheadz,2017,1
41593-1,Captain Jack Sparrow,Brickheadz,2017,1
41594-1,Captain Armando Salazar,Brickheadz,2017,1
